sobject_id,camera
150827004001001,1
150827004001006,1
150827004001006,2
150827004001008,2
150827004001009,1
150827004001009,2
150827004001012,2
150827004001018,2
150827004001020,1
150827004001021,1
150827004001021,2
150827004001022,1
150827004001023,1
150827004001024,2
150827004001025,1
150827004001026,2
150827004001027,1
150827004001029,2
150827004001031,1
150827004001032,1
150827004001032,2
150827004001033,1
150827004001033,2
150827004001034,1
150827004001036,1
150827004001036,2
150827004001038,1
150827004001038,2
150827004001039,1
150827004001039,2
150827004001040,1
150827004001041,2
150827004001043,1
150827004001043,2
150827004001044,2
150827004001045,2
150827004001047,1
150827004001048,1
150827004001048,2
150827004001049,1
150827004001049,2
150827004001052,1
150827004001055,2
150827004001058,2
150827004001060,1
150827004001061,2
150827004001062,1
150827004001062,2
150827004001063,2
150827004001064,2
150827004001066,1
150827004001067,1
150827004001068,1
150827004001070,1
150827004001070,2
150827004001071,2
150827004001072,1
150827004001073,2
150827004001075,1
150827004001075,2
150827004001076,1
150827004001076,2
150827004001077,2
150827004001078,1
150827004001079,2
150827004001082,1
150827004001082,2
150827004001084,1
150827004001085,1
150827004001085,2
150827004001086,2
150827004001087,1
150827004001087,2
150827004001088,1
150827004001089,1
150827004001089,2
150827004001090,2
150827004001091,2
150827004001092,2
150827004001093,2
150827004001095,2
150827004001096,1
150827004001097,2
150827004001098,1
150827004001099,2
150827004001102,2
150827004001105,1
150827004001105,2
150827004001107,1
150827004001109,1
150827004001109,2
150827004001110,1
150827004001112,2
150827004001114,2
150827004001115,2
150827004001116,1
150827004001116,2
150827004001118,2
150827004001119,2
150827004001122,1
150827004001123,1
150827004001124,1
150827004001125,2
150827004001128,1
150827004001129,2
150827004001130,2
150827004001132,2
150827004001134,2
150827004001135,1
150827004001136,1
150827004001136,2
150827004001137,1
150827004001139,1
150827004001140,2
150827004001141,1
150827004001142,1
150827004001143,1
150827004001145,1
150827004001151,1
150827004001152,1
150827004001152,2
150827004001153,1
150827004001154,1
150827004001155,1
150827004001155,2
150827004001157,2
150827004001158,1
150827004001159,2
150827004001161,1
150827004001165,2
150827004001166,1
150827004001166,2
150827004001167,1
150827004001167,2
150827004001168,1
150827004001168,2
150827004001171,2
150827004001172,1
150827004001173,1
150827004001173,2
150827004001174,1
150827004001175,1
150827004001175,2
150827004001176,2
150827004001178,1
150827004001178,2
150827004001179,1
150827004001179,2
150827004001181,2
150827004001182,2
150827004001184,2
150827004001186,1
150827004001188,2
150827004001191,2
150827004001192,1
150827004001193,1
150827004001193,2
150827004001194,1
150827004001195,1
150827004001195,2
150827004001196,1
150827004001199,2
150827004001203,2
150827004001204,1
150827004001205,2
150827004001207,1
150827004001208,1
150827004001208,2
150827004001209,1
150827004001210,1
150827004001211,2
150827004001213,1
150827004001213,2
150827004001214,1
150827004001215,1
150827004001215,2
150827004001216,1
150827004001217,2
150827004001218,1
150827004001220,2
150827004001222,1
150827004001222,2
150827004001224,2
150827004001225,2
150827004001226,2
150827004001227,1
150827004001228,1
150827004001228,2
150827004001229,1
150827004001229,2
150827004001230,1
150827004001231,2
150827004001232,1
150827004001232,2
150827004001233,1
150827004001233,2
150827004001237,1
150827004001239,2
150827004001241,2
150827004001242,1
150827004001242,2
150827004001243,1
150827004001243,2
150827004001245,1
150827004001245,2
150827004001247,1
150827004001247,2
150827004001248,1
150827004001248,2
150827004001251,1
150827004001252,1
150827004001254,2
150827004001255,1
150827004001255,2
150827004001256,2
150827004001259,1
150827004001264,1
150827004001266,2
150827004001267,1
150827004001268,1
150827004001269,2
150827004001270,2
150827004001271,2
150827004001272,1
150827004001276,1
150827004001276,2
150827004001277,1
150827004001279,1
150827004001279,2
150827004001280,1
150827004001281,1
150827004001282,1
150827004001282,2
150827004001283,2
150827004001284,2
150827004001288,2
150827004001289,1
150827004001289,2
150827004001290,1
150827004001293,1
150827004001296,2
150827004001299,1
150827004001301,1
150827004001301,2
150827004001302,1
150827004001303,1
150827004001306,1
150827004001307,1
150827004001307,2
150827004001308,2
150827004001309,2
150827004001310,1
150827004001311,1
