,vis_x,vis_y
0,45.572212,15.80679
1,-63.07033,-21.259369
2,-82.45994,17.651896
3,-22.650158,-39.207977
4,-13.097618,-46.68098
5,-81.2627,2.378201
6,-59.438038,-17.432411
7,-15.855528,-29.694103
8,-78.90048,-7.384311
9,-41.56417,-15.542909
10,21.14552,-18.18207
11,-10.960147,-33.492226
12,1.5529276,-57.16909
13,64.31498,4.67149
14,-26.662235,-34.10462
15,-43.980423,-18.918308
16,-75.52762,20.955355
17,-28.202045,-42.253292
18,-38.376064,45.629135
19,-8.30605,-33.6418
20,33.852856,-32.54379
21,-75.03605,1.5143559
22,2.8891656,-37.69726
23,58.383293,4.06016
24,-13.394991,-4.4760575
25,-30.10344,47.513535
26,-78.73818,19.8624
27,-75.91555,-1.5215865
28,-33.017326,-23.39496
29,-76.78402,-13.412111
30,-78.35552,25.185045
31,-82.07649,7.3160634
32,-75.010345,-14.421612
33,10.572418,-31.40122
34,-8.242889,-46.294647
35,-8.51245,5.464408
36,-15.298226,-0.435639
37,25.024473,-26.468075
38,-13.198893,-7.694037
39,-12.685057,-6.015296
40,-4.503591,6.7771254
41,-46.49408,-33.08136
42,-50.206352,-19.80563
43,-42.00261,-40.238132
44,-49.973103,-35.026554
45,-71.23188,2.716677
46,-74.872055,12.176923
47,-79.0951,14.438296
48,-59.178635,-24.807865
49,6.6632905,-36.47769
50,-72.07133,-16.512823
51,28.69302,-18.365969
52,17.37033,-8.454068
53,18.483143,-9.865447
54,-69.75463,-9.805136
55,17.21385,-29.449034
56,-3.9290943,-12.223591
57,-59.946243,-35.208206
58,-31.300417,-36.519672
59,19.041685,-9.91678
60,-71.55405,-16.424131
61,-78.09318,-9.693643
62,-9.286646,5.9712124
63,-66.65248,-18.641603
64,9.006661,-39.402397
65,17.676723,-22.7726
66,-60.74017,-17.304644
67,-0.68037844,-32.621525
68,-7.31949,12.163609
69,-80.84591,10.392093
70,-20.154528,-32.737488
71,25.600523,-18.507416
72,-8.594463,8.402975
73,-11.882715,7.5629845
74,2.3871126,-11.404351
75,4.9306383,1.5186124
76,-4.6354737,-14.257257
77,-46.201527,-48.13809
78,-25.76883,-48.11547
79,-36.00363,-19.950813
80,-69.6897,-10.812793
81,-67.10347,-19.040886
82,5.645256,-9.921681
83,-77.38922,-12.567009
84,-22.893955,-46.38609
85,51.59462,28.807981
86,7.3484955,25.861523
87,-35.00598,-55.09448
88,30.339615,26.022263
89,16.733316,24.952505
90,30.452429,33.811085
91,-14.262071,-36.489635
92,53.290783,14.278666
93,18.293169,22.618187
94,2.8256059,2.841473
95,-3.251338,-15.3796215
96,55.92329,-10.209209
97,-8.302773,60.874474
98,-17.56363,15.636907
99,50.356106,22.603857
100,-39.35742,-50.112568
101,50.66224,18.941202
102,-33.186264,-51.193893
103,26.094717,25.97611
104,7.5748687,23.475887
105,0.17725515,56.974133
106,-5.2345057,34.829765
107,8.882097,-36.463287
108,48.297626,-24.282879
109,-19.019531,-10.183469
110,59.40561,43.1382
111,-45.691006,-8.174209
112,15.995196,-36.536064
113,38.793766,34.717422
114,-45.284122,8.8095455
115,-52.181908,-38.96157
116,17.333607,-8.415597
117,-33.02792,35.981804
118,-36.6091,-31.585804
119,-26.50237,-35.3621
120,-24.12219,-34.380234
121,-38.29507,-52.386852
122,-34.020176,-39.63767
123,32.15979,22.66861
124,29.808935,21.5888
125,17.359388,-36.01718
126,0.9288683,-10.429386
127,-1.7828475,54.303795
128,-69.96244,16.906954
129,-25.873064,45.404907
130,-11.592962,60.900852
131,47.012985,0.015222789
132,7.6831713,11.883919
133,-31.749105,-44.958073
134,37.697655,44.083572
135,-61.208214,-26.667395
136,20.906847,-29.625864
137,-40.387577,4.943078
138,-39.432194,31.5697
139,4.320801,-10.917554
140,-70.62764,-1.7090663
141,18.665287,-9.56001
142,24.193832,-49.379818
143,-3.346457,-59.51602
144,3.702273,21.958296
145,6.1412144,-54.203472
146,46.943653,30.060328
147,-10.170246,-43.625084
148,6.470231,-65.57796
149,37.538982,25.862535
150,-61.012005,-29.40562
151,-61.00314,-29.484587
152,-60.887962,-29.56885
153,16.292055,-33.35437
154,31.32229,22.05007
155,-44.936695,1.7728482
156,-35.176697,-43.85826
157,51.792553,6.826654
158,25.16642,-35.361195
159,42.281216,-27.247183
160,33.569893,39.741413
161,52.929016,7.7673326
162,28.667364,-30.291258
163,-19.786291,-11.183366
164,35.413994,-19.373158
165,46.769722,3.8464103
166,-3.2849412,-4.3130074
167,48.27742,11.154614
168,6.4816685,-31.733454
169,-8.252023,-11.176075
170,-26.178846,40.37735
171,-14.807876,-2.0050066
172,19.33092,-20.030766
173,51.54687,-11.620456
174,61.686848,0.36203936
175,44.4763,8.610026
176,17.999924,-23.944149
177,-13.585102,-47.098972
178,-20.69421,-30.71207
179,-77.33638,-2.905553
180,-22.192602,42.90501
181,30.525852,18.711313
182,31.719124,18.995998
183,42.70416,5.4193673
184,5.4817047,-12.084834
185,64.75424,15.339452
186,63.562717,44.937923
187,71.755066,20.913334
188,27.538832,41.450363
189,-77.37562,10.333796
190,-40.060917,25.66304
191,61.231064,15.581609
192,59.86068,46.315613
193,-36.891895,11.826579
194,60.994232,33.663666
195,21.14197,-20.042568
196,73.59865,23.038168
197,48.70713,5.2931333
198,29.603989,22.095472
199,41.29775,35.280327
200,-52.081264,-31.459711
201,4.7167573,-40.162518
202,27.245558,36.037178
203,30.266634,20.179464
204,-75.73621,7.4745274
205,16.538649,-35.416103
206,64.89148,28.333296
207,48.54564,46.588913
208,-65.49191,-12.318212
209,-41.08879,-15.884579
210,52.84548,1.9802234
211,-21.736528,-9.107057
212,-3.24789,-17.234
213,-42.16508,28.46381
214,-74.88915,-13.698871
215,7.117069,37.976902
216,77.89826,17.57059
217,2.3632007,42.34579
218,4.175824,22.128185
219,15.599587,21.26233
220,-15.788609,24.743052
221,42.553738,-16.912321
222,-9.063039,-30.406612
223,-5.814147,-7.604151
224,8.2975855,37.447876
225,18.919428,24.043903
226,-23.941969,40.909554
227,61.799,3.109415
228,57.03339,41.679497
229,-21.996714,-52.784172
230,-36.627724,34.986797
231,16.402538,15.4168825
232,19.227264,15.813727
233,-3.736779,58.358635
234,5.243425,38.340416
235,-24.443083,46.405964
236,-31.8511,43.843468
237,-27.9882,34.49334
238,3.6292403,22.027763
239,-42.383076,3.8563585
240,3.7175012,21.978882
241,-5.192107,2.775447
242,40.28138,-14.227445
243,-3.1921387,-58.244396
244,-44.318035,-34.241325
245,44.99929,-26.116056
246,52.29515,-17.64806
247,25.074461,-32.77977
248,-36.426197,-37.31765
249,-74.37993,30.54509
250,40.34511,-28.830744
251,3.4646158,21.722239
252,34.66094,16.947643
253,-15.15808,-1.7778832
254,37.77576,16.49219
255,39.961437,-29.394241
